SID,SVOLT,SOV,TORN,SORN,TSN,TEMP,CURRENT
531,48.0,0.0,11,9,3-12-4530,38.562,-6.945815e-08
531,48.0,0.0,11,10,3-12-4530,38.625,-6.992442e-08
531,48.0,0.0,11,11,3-12-4530,38.625,-7.044042e-08
531,48.0,0.0,11,12,3-12-4530,38.625,-6.949408e-08
531,48.0,0.0,11,13,3-12-4530,38.625,-7.185989e-08
531,48.0,0.0,11,14,3-12-4530,38.687,-6.783975e-08
531,48.0,0.0,11,15,3-12-4530,38.687,-6.847868e-08
531,48.0,0.0,11,16,3-12-4530,38.687,-6.934351e-08
531,48.0,0.0,12,1,3-13-4691,37.125,-6.14076e-08
531,48.0,0.0,12,2,3-13-4691,37.187,-5.805263e-08
531,48.0,0.0,12,3,3-13-4691,37.187,-5.772178e-08
531,48.0,0.0,12,4,3-13-4691,37.187,-5.278914e-08
531,48.0,0.0,12,5,3-13-4691,37.25,-6.285887e-08
531,48.0,0.0,12,6,3-13-4691,37.25,-6.045298e-08
531,48.0,0.0,12,7,3-13-4691,37.25,-5.756916e-08
531,48.0,0.0,12,8,3-13-4691,37.312,-5.716294e-08
531,48.0,0.0,12,9,3-13-4691,37.312,-6.114995e-08
531,48.0,0.0,12,10,3-13-4691,37.312,-6.071892e-08
531,48.0,0.0,12,11,3-13-4691,37.312,-5.800152e-08
531,48.0,0.0,12,12,3-13-4691,37.375,-5.788685e-08
531,48.0,0.0,12,13,3-13-4691,37.375,-5.920757e-08
531,48.0,0.0,12,14,3-13-4691,37.375,-6.3149e-08
531,48.0,0.0,12,15,3-13-4691,37.375,-5.686455e-08
531,48.0,0.0,12,16,3-13-4691,37.375,-6.111752e-08
531,48.0,0.0,13,1,3-13-4692,36.062,-6.473822e-08
531,48.0,0.0,13,2,3-13-4692,36.125,-5.781275e-08
531,48.0,0.0,13,3,3-13-4692,36.125,-6.177628e-08
531,48.0,0.0,13,4,3-13-4692,36.187,-5.93614e-08
